Total classes for 8 bits: 36

[Class  1] Period=1, Ones=0:   00000000
[Class  2] Period=1, Ones=8:   11111111
[Class  3] Period=2, Ones=4:   01010101, 10101010
[Class  4] Period=4, Ones=2:   00010001, 00100010, 01000100, 10001000
[Class  5] Period=4, Ones=4:   00110011, 01100110, 10011001, 11001100
[Class  6] Period=4, Ones=6:   01110111, 10111011, 11011101, 11101110
[Class  7] Period=8, Ones=1:   00000001, 00000010, 00000100, 00001000, 00010000, 00100000, 01000000, 10000000
[Class  8] Period=8, Ones=2:   00000011, 00000110, 00001100, 00011000, 00110000, 01100000, 10000001, 11000000
[Class  9] Period=8, Ones=3:   00000111, 00001110, 00011100, 00111000, 01110000, 10000011, 11000001, 11100000
[Class 10] Period=8, Ones=2:   00000101, 00001010, 00010100, 00101000, 01000001, 01010000, 10000010, 10100000
[Class 11] Period=8, Ones=3:   00001101, 00011010, 00110100, 01000011, 01101000, 10000110, 10100001, 11010000
[Class 12] Period=8, Ones=2:   00001001, 00010010, 00100001, 00100100, 01000010, 01001000, 10000100, 10010000
[Class 13] Period=8, Ones=3:   00001011, 00010110, 00101100, 01011000, 01100001, 10000101, 10110000, 11000010
[Class 14] Period=8, Ones=4:   00001111, 00011110, 00111100, 01111000, 10000111, 11000011, 11100001, 11110000
[Class 15] Period=8, Ones=5:   00011111, 00111110, 01111100, 10001111, 11000111, 11100011, 11110001, 11111000
[Class 16] Period=8, Ones=4:   00010111, 00101110, 01011100, 01110001, 10001011, 10111000, 11000101, 11100010
[Class 17] Period=8, Ones=3:   00010011, 00100110, 00110001, 01001100, 01100010, 10001001, 10011000, 11000100
[Class 18] Period=8, Ones=4:   00011011, 00110110, 01100011, 01101100, 10001101, 10110001, 11000110, 11011000
[Class 19] Period=8, Ones=3:   00011001, 00100011, 00110010, 01000110, 01100100, 10001100, 10010001, 11001000
[Class 20] Period=8, Ones=4:   00011101, 00111010, 01000111, 01110100, 10001110, 10100011, 11010001, 11101000
[Class 21] Period=8, Ones=3:   00010101, 00101010, 01000101, 01010001, 01010100, 10001010, 10100010, 10101000
[Class 22] Period=8, Ones=4:   00110101, 01001101, 01010011, 01101010, 10011010, 10100110, 10101001, 11010100
[Class 23] Period=8, Ones=3:   00100101, 00101001, 01001001, 01001010, 01010010, 10010010, 10010100, 10100100
[Class 24] Period=8, Ones=4:   00100111, 00111001, 01001110, 01110010, 10010011, 10011100, 11001001, 11100100
[Class 25] Period=8, Ones=5:   00101111, 01011110, 01111001, 10010111, 10111100, 11001011, 11100101, 11110010
[Class 26] Period=8, Ones=4:   00101011, 01010110, 01011001, 01100101, 10010101, 10101100, 10110010, 11001010
[Class 27] Period=8, Ones=5:   00111011, 01100111, 01110110, 10011101, 10110011, 11001110, 11011001, 11101100
[Class 28] Period=8, Ones=6:   00111111, 01111110, 10011111, 11001111, 11100111, 11110011, 11111001, 11111100
[Class 29] Period=8, Ones=5:   00110111, 01101110, 01110011, 10011011, 10111001, 11001101, 11011100, 11100110
[Class 30] Period=8, Ones=5:   00111101, 01001111, 01111010, 10011110, 10100111, 11010011, 11101001, 11110100
[Class 31] Period=8, Ones=4:   00101101, 01001011, 01011010, 01101001, 10010110, 10100101, 10110100, 11010010
[Class 32] Period=8, Ones=6:   01101111, 01111011, 10110111, 10111101, 11011011, 11011110, 11101101, 11110110
[Class 33] Period=8, Ones=7:   01111111, 10111111, 11011111, 11101111, 11110111, 11111011, 11111101, 11111110
[Class 34] Period=8, Ones=6:   01011111, 01111101, 10101111, 10111110, 11010111, 11101011, 11110101, 11111010
[Class 35] Period=8, Ones=5:   01010111, 01011101, 01110101, 10101011, 10101110, 10111010, 11010101, 11101010
[Class 36] Period=8, Ones=5:   01011011, 01101011, 01101101, 10101101, 10110101, 10110110, 11010110, 11011010
